pca_components,explained_variance,compression_ratio,k,jump_penalty,silhouette,inertia,objective,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,smoothed_weeks,min_cluster_size,max_cluster_share,cluster_sizes,market_regime_feasible,attention_ready,tuning_score
6,0.539383616451501,9.0,4,0.5,0.17052813256407548,23806.34004673434,23822.84004673434,33,3,17.029411764705884,57,32,22,0.5284974093264249,"306,22,83,168",True,True,0.17052813256407548
6,0.539383616451501,9.0,4,1.0,0.17052813256407548,23806.34004673434,23839.34004673434,33,3,17.029411764705884,57,30,22,0.5284974093264249,"306,22,83,168",True,True,0.17052813256407548
6,0.539383616451501,9.0,4,2.0,0.18461771460392684,24025.89351810506,24091.89351810506,33,3,17.029411764705884,57,32,14,0.5492227979274611,"318,174,73,14",False,False,0.16461771460392685
6,0.539383616451501,9.0,4,4.0,0.17052813256407548,23806.34004673434,23938.34004673434,33,3,17.029411764705884,57,29,22,0.5284974093264249,"306,22,83,168",True,True,0.17052813256407548
6,0.539383616451501,9.0,4,8.0,0.17413211980384485,23821.052115562816,24093.052115562816,34,3,16.542857142857144,57,17,22,0.533678756476684,"309,22,81,167",True,True,0.17413211980384485
6,0.539383616451501,9.0,4,16.0,0.1639986249987779,23855.414912074542,24319.414912074542,29,3,19.3,67,6,22,0.5215889464594128,"302,22,79,176",True,True,0.1639986249987779
6,0.539383616451501,9.0,4,32.0,0.16698320660088617,23927.781989521365,24791.781989521365,27,3,20.678571428571427,67,3,22,0.5440414507772021,"315,22,79,163",True,True,0.16698320660088617
6,0.539383616451501,9.0,4,64.0,0.18019553393271764,24168.784274971313,25512.784274971313,21,5,26.318181818181817,72,2,22,0.538860103626943,"166,79,312,22",True,True,0.18019553393271764
6,0.539383616451501,9.0,5,0.0,0.17752776120144578,21556.83766077926,21556.83766077926,31,3,18.09375,70,43,14,0.40932642487046633,"97,237,14,83,148",False,False,0.1575277612014458
6,0.539383616451501,9.0,5,0.25,0.1603502394428861,21581.676153866618,21591.176153866618,38,3,14.846153846153847,48,41,14,0.3955094991364421,"229,143,90,103,14",False,False,0.1403502394428861
6,0.539383616451501,9.0,5,0.5,0.17752776120144578,21556.83766077926,21572.33766077926,31,3,18.09375,70,41,14,0.40932642487046633,"97,237,14,83,148",False,False,0.1575277612014458
6,0.539383616451501,9.0,5,1.0,0.17752776120144578,21556.83766077926,21587.83766077926,31,3,18.09375,70,40,14,0.40932642487046633,"97,237,14,83,148",False,False,0.1575277612014458
6,0.539383616451501,9.0,5,2.0,0.1785273897237416,21552.751814585525,21614.751814585525,31,3,18.09375,72,37,14,0.41278065630397237,"97,239,14,83,146",False,False,0.1585273897237416
6,0.539383616451501,9.0,5,4.0,0.1764892063017966,21546.417804948986,21678.417804948986,33,3,17.029411764705884,53,29,14,0.40414507772020725,"97,234,14,83,151",False,False,0.1564892063017966
6,0.539383616451501,9.0,5,8.0,0.1764892063017966,21546.417804948986,21810.417804948986,33,3,17.029411764705884,53,21,14,0.40414507772020725,"97,234,14,83,151",False,False,0.1564892063017966
6,0.539383616451501,9.0,5,16.0,0.17284495065016778,21622.98973257953,22038.98973257953,26,3,21.444444444444443,72,10,14,0.4006908462867012,"104,232,14,83,146",False,False,0.1528449506501678
6,0.539383616451501,9.0,5,32.0,0.17284495065016778,21622.98973257953,22454.98973257953,26,3,21.444444444444443,72,7,14,0.4006908462867012,"104,232,14,83,146",False,False,0.1528449506501678
6,0.539383616451501,9.0,5,64.0,0.15173486781397938,21818.736134860483,23162.736134860483,21,5,26.318181818181817,68,0,14,0.3436960276338515,"199,169,78,119,14",False,False,0.1317348678139794
6,0.539383616451501,9.0,6,0.0,0.16723161564172845,19648.413227115343,19648.413227115343,40,3,14.121951219512194,48,57,14,0.3626943005181347,"210,157,54,92,14,52",False,False,0.14723161564172846
6,0.539383616451501,9.0,6,0.25,0.16723161564172845,19648.413227115343,19658.413227115343,40,3,14.121951219512194,48,57,14,0.3626943005181347,"210,157,54,92,14,52",False,False,0.14723161564172846
6,0.539383616451501,9.0,6,0.5,0.16761268406578309,19646.69981526043,19666.69981526043,40,3,14.121951219512194,48,54,14,0.3644214162348877,"211,157,54,91,14,52",False,False,0.1476126840657831
6,0.539383616451501,9.0,6,1.0,0.16800616980993183,19644.64563874172,19684.64563874172,40,3,14.121951219512194,50,49,14,0.3609671848013817,"209,162,54,88,14,52",False,False,0.14800616980993184
6,0.539383616451501,9.0,6,2.0,0.16886697201011522,19618.388841475968,19698.388841475968,40,3,14.121951219512194,50,42,14,0.3644214162348877,"211,161,52,89,14,52",False,False,0.14886697201011523
6,0.539383616451501,9.0,6,4.0,0.16886697201011522,19618.388841475968,19778.388841475968,40,3,14.121951219512194,50,35,14,0.3644214162348877,"211,161,52,89,14,52",False,False,0.14886697201011523
6,0.539383616451501,9.0,6,8.0,0.16904129648371138,19608.307280727055,19928.307280727055,40,3,14.121951219512194,50,27,14,0.35751295336787564,"207,164,52,90,14,52",False,False,0.1490412964837114
6,0.539383616451501,9.0,6,16.0,0.16756568188892446,19625.978386902792,20249.978386902792,39,3,14.475,50,18,14,0.35751295336787564,"207,164,47,90,14,57",False,False,0.14756568188892447
6,0.539383616451501,9.0,6,32.0,0.17611363361898413,19851.102732856154,20939.102732856154,34,3,16.542857142857144,72,9,14,0.41968911917098445,"81,243,54,53,134,14",False,False,0.15611363361898414
6,0.539383616451501,9.0,6,64.0,0.14697344583901914,20281.269720317505,21817.269720317505,24,3,23.16,90,4,14,0.36614853195164077,"129,47,212,14,51,126",False,False,0.12697344583901915
6,0.539383616451501,9.0,7,0.0,0.1692041608037273,18249.54932449561,18249.54932449561,44,3,12.866666666666667,60,50,14,0.34196891191709844,"54,52,125,198,81,55,14",False,False,0.1492041608037273
