pca_components,explained_variance,compression_ratio,k,jump_penalty,silhouette,inertia,objective,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,min_cluster_size,max_cluster_share,cluster_sizes,market_regime_feasible,attention_ready,tuning_score
6,0.539383616451501,9.0,4,16.0,0.18588653929629192,23735.261125100355,24263.261125100355,33,1,17.029411764705884,72,22,0.540587219343696,"155,89,313,22",True,True,0.18588653929629192
6,0.539383616451501,9.0,4,32.0,0.18215278475393668,23825.50432988615,24721.50432988615,28,2,19.96551724137931,72,22,0.5354058721934369,"157,90,310,22",True,True,0.18215278475393668
6,0.539383616451501,9.0,4,64.0,0.1794606999770952,24081.49574460857,25489.49574460857,22,2,25.17391304347826,72,22,0.538860103626943,"164,81,312,22",True,True,0.1794606999770952
6,0.539383616451501,9.0,5,0.0,0.18369266658606137,20992.908491073467,20992.908491073467,90,1,6.362637362637362,41,14,0.38169257340241797,"105,221,14,92,147",False,False,0.16369266658606138
6,0.539383616451501,9.0,5,0.25,0.1702974842835089,20987.811994562722,21012.811994562722,100,1,5.732673267326732,39,14,0.38341968911917096,"222,141,97,105,14",False,False,0.15029748428350892
6,0.539383616451501,9.0,5,0.5,0.1835946464424275,20994.060116263805,21037.060116263805,86,1,6.655172413793103,41,14,0.38169257340241797,"105,221,14,92,147",False,False,0.16359464644242752
6,0.539383616451501,9.0,5,1.0,0.18398443073016538,20995.665867527285,21079.665867527285,84,1,6.811764705882353,46,14,0.38341968911917096,"104,222,14,92,147",False,False,0.1639844307301654
6,0.539383616451501,9.0,5,2.0,0.18417520080607644,21003.774725575346,21159.774725575346,78,1,7.329113924050633,48,14,0.38687392055267705,"103,224,14,92,146",False,False,0.16417520080607645
6,0.539383616451501,9.0,5,4.0,0.18370739995876165,21036.41324590728,21296.41324590728,65,1,8.772727272727273,48,14,0.38860103626943004,"98,225,14,94,148",False,False,0.16370739995876166
6,0.539383616451501,9.0,5,8.0,0.18202012206784615,21086.403773402577,21526.403773402577,55,1,10.339285714285714,48,14,0.38687392055267705,"97,224,14,93,151",False,False,0.16202012206784616
